Spell Name	Level	Class(es)	School	Casting Time	Range	Target/Area	Component(s)	Concentration	Duration	Attack/Saving Throw (Effect)	DAM Type	Damage/Heal	Additional Detail
Power Word Heal	9	Bard	Evocation	1 action	Touch	1 creature			Instantaneous			HEAL: All HP	Target also cured of charm, fright, paralyze, or stun. Use reaction to stand up.
Rope Trick	2	Wizard	Transmutation	1 action	Touch	60 ft. rope	powdered corn, parchment loop		1 hour				Climb rope to other space that can hide 8 Medium creatures. Can see outside.
Divine Word	7	Cleric	Evocation	1 bonus action	30 ft.	Any targets in range			Instantaneous	CHA (Fail)			Targets suffer effects based on their current HP. See Sourcebook.
Detect Thoughts	2	Bard, Sorcerer, Wizard	Divination	1 action	Self	30 ft. radius	a copper piece	1	1 minute	See Sourcebook.			Read thoughts of those around you. See Sourcebook.
Water Walk	3	Cleric, Druid, Ranger, Sorcerer	Transmutation	1 action	30 ft.	<= 10 willing creatures	piece of cork		1 hour				Creaturess walk on liquid, rise 60 ft. per round if under. Still take other damage.
Weird	9	Wizard	Illusion	1 action	120 ft.	30 ft. radius		1	1 minute	WIS (Fail)	Psychic	DAM: 4d10	Affected creatures make WIS saves each turn and take DAM until they save.
Witch Bolt	1	Sorcerer, Warlock, Wizard	Evocation	1 action	30 ft.	1 creature	twig from tree struck by lightning	1	1 minute	Ranged Spell Attack	Lightning	DAM: 1d12	Use action to auto hit target hit last round for 1d12 lightning DAM if in range.
Mass Healing Word	3	Cleric	Evocation	1 bonus action	60 ft.	<= 6 creatures			Instantaneous			See Details.	Targets HEAL 1d4 + casting ability modifier. No effect on undead/constructs.
Telekinesis	5	Sorcerer, Wizard	Transmutation	1 action	60 ft.	Creatures or objects in range		1	10 minutes				Move objects or creatures with your mind. See Sourcebook.
Cure Wounds	1	Bard, Cleric, Druid, Paladin, Ranger	Evocation	1 action	Touch	1 creature			Instantaneous			See Details	HEAL: 1d8 + spellcasting ability modifier. No effect on undead or constructs.
Mirror Image	2	Cleric(Trickery), Druid(Coast), Sorcerer, Warlock, Wizard	Illusion	1 action	Self	Self			1 minute				Create duplicates that make you harder to hit. See Sourcebook.
Otiluke's Freezing Sphere	6	Wizard	Evocation	1 action	300 ft.	60 ft. radius sphere	small crystal sphere		Instantaneous	CON (Half DAM)	Cold	DAM: 10d6	Water freezes. Can give globe to another who fires it and spell takes effect then.
Dancing Lights	0	Bard, Sorcerer, Wizard	Evocation	1 action	120 ft.		phosphorous or glowworm	1	1 minute				Create 4 glowing, hovering objects that shed light out 10 ft. Can move 60 ft.
Augury	2	Cleric	Divination	1 minute	Self	Self	special tokens		Instantaneous				See omen predicting results of action taken within 30 minutes.
Counterspell	3	Sorcerer, Warlock, Wizard	Abjuration	1 reaction (spell cast)	60 ft.	1 Spellcaster			Instantaneous	See Details.			Interrupt spell <= 4th. You make casting ability check (DC 10 + spell level).
Water Breathing	3	Druid, Ranger, Sorcerer, Wizard	Transmutation	1 action	30 ft.	<= 10 willing creatures	short reed or piece of straw		24 hours				Creatures gain ability to breathe underwater using normal respiration.
Wall of Ice	6	Wizard	Evocation	1 action	120 ft.	See Sourcebook.	small piece of quartz	1	10 minutes	DEX (Half DAM)	Cold	DAM: 10d6	Ice:AC 12, 30 HP. Moving through ice:take 5d6 cold DAM or CON save for half.
Maze	8	Wizard	Conjuration	1 action	60 ft.	1 creature		1	10 minutes	See Details			Target uses action each turn to make INT check (DC 20) to escape.
Arms of Hadar	1	Warlock	Conjuration	1 action	Self	10 ft. radius			Instantaneous	STR (Half DAM, no effect)	Necrotic	DAM: 2d6	Targets can't take reactions until next turn
Dispel Magic	3	Bard, Cleric, Druid, Paladin, Sorcerer, Warlock, Wizard	Abjuration	1 action	120 ft.	1 creature/object/magical effect			Instantaneous				End spell <= 3rd level. For >= 4th level, casting ability check DC=10+spell level.
Spirit Guardian	3	Cleric	Conjuration	1 action	Self	15 ft. radius	holy symbol	1	10 minutes	WIS (Half DAM)	Radiant or Necrotic	DAM: 3d8	Enemy creature speed halved. DMG on enter area: necrotic if evil, radiant if not.
Daylight	3	Cleric, Druid, Paladin, Ranger, Sorcerer	Evocation	1 action	60 ft.	60 ft. radius sphere			1 hour				Creates bright light. Dispels darkness spells <= 3rd level it overlaps with.
Mage Hand	0	Bard, Sorcerer, Warlock, Wizard	Conjuration	1 action	30 ft.				1 minute				Create spectral hand that manipulates objects. Can pick up <= 10 lbs.
